id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
303,180248237,TT Elite Series,Marcin Jadczyk,Maciej Nowalinski,2025-08-27 02:10:00,To Win,Away,,2.62,1.7543859649122808,49.339999999999996,0.0,-1.0,2025-08-26 21:15:12,2025-08-27 12:56:04,Marcin Jadczyk
305,180248257,TT Elite Series,Adrian Wiecek,Michal Murawski,2025-08-27 02:40:00,To Win,Away,,2.1,1.5503875968992247,35.45000000000002,1.0,1.1,2025-08-26 21:15:12,2025-08-27 12:56:04,Michal Murawski
307,180248260,TT Elite Series,Dawid Michna,Michal Murawski,2025-08-27 03:40:00,To Win,Away,,1.72,1.3888888888888888,23.839999999999996,0.0,-1.0,2025-08-26 21:15:13,2025-08-27 12:56:04,Dawid Michna
308,180248242,TT Elite Series,Bartosz Czerwinski,Marcin Jadczyk,2025-08-27 03:55:00,Total,Over O 70.5,70.5,1.83,1.4285714285714286,28.09999999999999,0.0,-1.0,2025-08-26 21:15:13,2025-08-27 12:56:04,45
309,180248243,TT Elite Series,Adrian Spychala,Krzysztof Wloczko,2025-08-27 04:20:00,Total,Under U 74.5,74.5,1.83,1.25,46.40000000000002,1.0,0.8300000000000001,2025-08-26 21:15:13,2025-08-27 12:56:04,53
310,180248263,TT Elite Series,Dawid Michna,Mateusz Golebiowski,2025-08-27 04:50:00,To Win,Home,,3.0,2.380952380952381,25.99999999999999,0.0,-1.0,2025-08-26 21:15:14,2025-08-27 12:56:04,Mateusz Golebiowski
407,180309030,Czech Liga Pro,Tomas Turek,Erik Mares,2025-08-28 15:30:00,To Win,Home,,2.37,1.7999999999999998,31.666666666666675,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
408,180309032,Czech Liga Pro,Laurent Lasota,Michal Chalupa,2025-08-28 15:30:00,To Win,Away,,1.8,1.0,80.0,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
409,180309033,Czech Liga Pro,Michal Hrabec,David Szotek,2025-08-28 15:30:00,To Win,Away,,1.53,1.0,53.0,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
412,180309039,Czech Liga Pro,Tibor Kolenic,Frantisek Briza,2025-08-28 16:00:00,To Win,Away,,2.62,2.0,31.000000000000007,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
413,180309041,Czech Liga Pro,Michal Chalupa,Martin Vizek,2025-08-28 16:00:00,To Win,Home,,1.83,1.0,83.0,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
414,180309041,Czech Liga Pro,Michal Chalupa,Martin Vizek,2025-08-28 16:00:00,Total,Under U 76.5,76.5,1.83,1.0,83.0,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
415,180309042,Czech Liga Pro,David Szotek,Michal Kratochvil,2025-08-28 16:00:00,To Win,Home,,1.72,1.0,72.0,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
416,180309042,Czech Liga Pro,David Szotek,Michal Kratochvil,2025-08-28 16:00:00,To Win,Away,,2.0,1.5000000000000004,33.3333333333333,,,2025-08-27 12:55:45,2025-08-27 12:55:45,
