id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result,home_elo_at_bet,away_elo_at_bet,elo_prob_home,implied_prob,bet_edge,min_roi_required,bet_decision_reason,player_form_home,player_form_away,h2h_summary,bet_timestamp
209,182892257,Czech Liga Pro,Jaroslav Prokupek,Martin Kir,2025-10-13T23:30:00,Total,Over O 74.5,74.5,1.83,1.4816513761467889,23.5108359133127,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,85 games,1433.289973750185,1487.453931771041,0.4226771957391485,0.5464480874316939,0.12847451318750114,15.0,Aceita: Over em Jogo Desequilibrado com ROI 23.51% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:32.232012
210,182892259,Czech Liga Pro,Petr Bruzek,Vaclav Dolezal,2025-10-13T23:30:00,Total,Under U 75.5,75.5,1.83,1.4355828220858897,27.47435897435897,0.0,-1.0,2025-10-13 08:22:37,2025-10-14 08:19:52,95 games,1523.3183206596589,1489.7603349946767,0.5481442012934625,0.5464480874316939,0.15013310914950262,15.0,Aceita: Under em Jogo Parelho com ROI 27.47% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:32.598251
211,182892260,Czech Liga Pro,Jiri Plachy,Vladimir Postelt,2025-10-14T00:00:00,Total,Under U 77.5,77.5,1.83,1.5637860082304527,17.023684210526312,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,61 games,1535.3035459200341,1468.819889744216,0.59452672146295,0.5464480874316939,0.09302559677883238,15.0,Aceita: Under em Jogo Parelho com ROI 17.02% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:32.763173
212,182892261,Czech Liga Pro,Oleksandr Kolisnyk,Vratislav Petracek,2025-10-14T00:00:00,Total,Over O 76.5,76.5,1.83,1.4323725055432373,27.760061919504643,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,104 games,1584.500201018823,1491.7232485852514,0.6304311906880797,0.5464480874316939,0.15169432742898714,20.0,Aceita: Over em Jogo Parelho com ROI 27.76% >= 20%,N/A,N/A,N/A,2025-10-13T08:22:32.848537
213,182892272,Czech Liga Pro,Vaclav Dolezal,Miroslav Adamec,2025-10-14T01:30:00,Total,Under U 75.5,75.5,1.83,1.4790419161676644,23.728744939271273,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,69 games,1489.7603349946767,1432.809510619236,0.5812325784947,0.5464480874316939,0.12966527289219276,15.0,Aceita: Under em Jogo Parelho com ROI 23.73% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:34.256546
214,182892273,Czech Liga Pro,Vladimir Postelt,Radim Pavelka,2025-10-14T02:00:00,Total,Under U 78.5,78.5,1.83,1.5384615384615383,18.95000000000001,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,55 games,1468.819889744216,1502.5940153491513,0.4515476507173882,0.5464480874316939,0.10355191256830609,15.0,Aceita: Under em Jogo Parelho com ROI 18.95% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:34.422851
215,182892278,Czech Liga Pro,Oleksandr Kolisnyk,Erik Mares,2025-10-14T02:30:00,Total,Over O 77.5,77.5,1.83,1.4166666666666667,29.176470588235293,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,111 games,1584.500201018823,1581.895587248869,0.5037482703071969,0.5464480874316939,0.15943426550948248,20.0,Aceita: Over em Jogo Parelho com ROI 29.18% >= 20%,N/A,N/A,N/A,2025-10-13T08:22:34.783355
216,182892279,Czech Liga Pro,Miroslav Adamec,Petr Bruzek,2025-10-14T02:30:00,Total,Under U 75.5,75.5,1.83,1.3204633204633205,38.58771929824562,1.0,0.8300000000000001,2025-10-13 08:22:37,2025-10-14 08:19:52,73 games,1432.809510619236,1523.3183206596589,0.37261595386772134,0.5464480874316939,0.2108618540887739,15.0,Aceita: Under em Jogo Parelho com ROI 38.59% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:34.991926
226,182955281,Czech Liga Pro,Ladislav Sulgan,Alexandr Virag,2025-10-14T06:00:00,Total,Under U 76.5,76.5,1.8,1.4965986394557822,20.272727272727277,1.0,0.8,2025-10-13 14:17:47,2025-10-14 08:19:53,47 games,1444.8852599556585,1458.9243258781466,0.4798071490235296,0.5555555555555556,0.11262626262626263,15.0,Aceita: Under em Jogo Parelho com ROI 20.27% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:24.795314
227,182955286,Czech Liga Pro,Jaroslav Strnad 1961,Vladimir Kubat,2025-10-14T06:30:00,Total,Under U 76.5,76.5,1.83,1.5023255813953489,21.811145510835928,1.0,0.8300000000000001,2025-10-13 14:17:47,2025-10-14 08:19:53,60 games,1354.5833886995638,1421.2144380410975,0.4052687604105322,0.5464480874316939,0.11918658749090671,15.0,Aceita: Under em Jogo Parelho com ROI 21.81% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:25.299446
228,182955305,Czech Liga Pro,Radomir Vidlicka,Ladislav Sulgan,2025-10-14T07:30:00,Total,Under U 75.5,75.5,1.83,1.5525114155251143,17.8735294117647,1.0,0.8300000000000001,2025-10-13 14:17:47,2025-10-14 08:19:54,56 games,1389.946571849001,1444.8852599556585,0.4215893102236896,0.5464480874316939,0.09766955962712953,15.0,Aceita: Under em Jogo Parelho com ROI 17.87% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:26.590171
229,182955309,Czech Liga Pro,Burak Golge,Petr Monik,2025-10-14T08:00:00,Total,Under U 74.5,74.5,1.9,1.6507936507936507,15.09615384615386,0.0,-1.0,2025-10-13 14:17:47,2025-10-14 14:17:57,91 games,1484.6552471917792,1483.9363932146032,0.5010345125562214,0.5263157894736842,0.07945344129554666,15.0,Aceita: Under em Jogo Parelho com ROI 15.10% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:26.835527
230,182955318,Czech Liga Pro,Alexandr Virag,Radomir Vidlicka,2025-10-14T08:30:00,Total,Under U 76.5,76.5,1.83,1.5583333333333333,17.433155080213915,0.0,-1.0,2025-10-13 14:17:47,2025-10-14 14:17:57,99 games,1458.9243258781466,1389.946571849001,0.5979829810730001,0.5464480874316939,0.09526314251483015,15.0,Aceita: Under em Jogo Parelho com ROI 17.43% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:27.613653
231,182955348,Czech Liga Pro,Dmitro Parhomenko,Jiri Dedek,2025-10-14T11:30:00,Total,Under U 75.5,75.5,1.83,1.3333333333333333,37.25000000000001,0.0,-1.0,2025-10-13 14:17:47,2025-10-14 14:17:59,83 games,1466.9153236466086,1561.6094502476378,0.36700124596041156,0.5464480874316939,0.20355191256830607,15.0,Aceita: Under em Jogo Parelho com ROI 37.25% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:29.774609
232,182955350,Czech Liga Pro,Vaclav Zidek,Samuel Byrtus,2025-10-14T11:30:00,Total,Under U 75.5,75.5,1.83,1.426829268292683,28.25641025641026,1.0,0.8300000000000001,2025-10-13 14:17:47,2025-10-14 14:17:59,55 games,1535.5659150586366,1452.2410223174923,0.6176667919694934,0.5464480874316939,0.15440661342300688,25.0,Aceita: Under em Jogo Desequilibrado com ROI 28.26% >= 25%,N/A,N/A,N/A,2025-10-13T14:17:29.920853
233,182955357,Czech Liga Pro,Jaroslav Strnad 1964,Jiri Havel,2025-10-14T12:30:00,Total,Under U 76.5,76.5,1.83,1.5510204081632653,17.986842105263168,1.0,0.8300000000000001,2025-10-13 14:17:47,2025-10-14 14:18:00,53 games,1509.7927451983962,1531.1199417602897,0.46934618918265336,0.5464480874316939,0.09828875467356923,15.0,Aceita: Under em Jogo Parelho com ROI 17.99% >= 15%,N/A,N/A,N/A,2025-10-13T14:17:30.631295
