id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
414,Czech Liga Pro,Michal Chalupa,Martin Vizek,2025-08-28 16:00:00,Total,Under U 76.5,76.5,1.83,83.0,,,,2025-08-28 14:47:25
415,Czech Liga Pro,David Szotek,Michal Kratochvil,2025-08-28 16:00:00,To Win,Home,,1.72,72.0,,,,2025-08-28 14:47:25
416,Czech Liga Pro,David Szotek,Michal Kratochvil,2025-08-28 16:00:00,To Win,Away,,2.0,33.3333333333333,,,,2025-08-28 14:47:25
417,Czech Liga Pro,Radek Rose,Michal Vavrecka,2025-08-28 16:30:00,Total,Over O 75.5,75.5,1.83,28.09999999999999,,,,2025-08-28 14:47:25
418,Czech Liga Pro,Michal Syroha,Jiri Buryan,2025-08-28 18:00:00,To Win,Away,,2.37,57.99999999999997,,,,2025-08-28 14:47:25
420,Czech Liga Pro,Richard Krejci,Tomas Janata,2025-08-28 18:30:00,To Win,Home,,1.53,31.579999999999984,,,,2025-08-28 14:47:25
422,Czech Liga Pro,Jiri Buryan,Milan Cetner,2025-08-28 19:00:00,To Win,Home,,2.2,46.66666666666664,,,,2025-08-28 14:47:25
424,Czech Liga Pro,Daniel Kouble,Richard Krejci,2025-08-28 19:30:00,To Win,Away,,1.61,28.800000000000015,,,,2025-08-28 14:47:25
432,Czech Liga Pro,Richard Krejci,Laurent Lasota,2025-08-28 21:30:00,To Win,Home,,1.83,46.40000000000002,,,,2025-08-28 14:47:25
433,Czech Liga Pro,Pavel Sprynar,Jiri Buryan,2025-08-28 22:00:00,To Win,Away,,2.0,33.3333333333333,,,,2025-08-28 14:47:25
434,Czech Liga Pro,Pavel Sprynar,Jiri Buryan,2025-08-28 22:00:00,Total,Under U 76.5,76.5,1.83,26.692307692307693,,,,2025-08-28 14:47:25
437,Czech Liga Pro,Hoang Tai Nguyen Ba,Miroslav Adamec,2025-08-28 22:30:00,To Win,Away,,2.37,89.60000000000001,,,,2025-08-28 14:47:25
547,Czech Liga Pro,Jaroslav Strnad 1964,Tomas Regner,2025-08-29 03:00:00,To Win,Home,,2.62,29.690000000000005,,,,2025-08-28 14:47:25
548,Czech Liga Pro,Jiri Havel,Vladimir Kubat,2025-08-29 04:00:00,To Win,Away,,2.25,46.24999999999998,,,,2025-08-28 14:47:25
551,Czech Liga Pro,Marek Blejchar,Jiri Stach,2025-08-29 04:30:00,To Win,Home,,3.4,36.0,,,,2025-08-28 14:47:25
665,Czech Liga Pro,Jakub Levicky,Roman Guliak,2025-08-29 07:00:00,To Win,Home,,2.5,87.5,,,,2025-08-29 01:15:46
669,Czech Liga Pro,Jakub Levicky,Zdenek Balusek,2025-08-29 08:30:00,To Win,Home,,3.25,143.75,,,,2025-08-29 01:15:46
670,Czech Liga Pro,Michal Chalupa,Patrik Pycha,2025-08-29 14:00:00,To Win,Home,,1.83,83.0,,,,2025-08-29 01:15:46
688,Czech Liga Pro,Petr Zmuda,Michal Chalupa,2025-08-29 15:30:00,To Win,Away,,1.83,83.0,,,,2025-08-29 01:15:46
